refined_roman_sentences
Tum kahan jaa rahe ho aaj kal?
"Mujhe bhook lagi hai, kuch khana hai."
"Aaj mausam bohat acha hai, kya khayal hai?"
"Kal tumhara paper hai, tayyari ho gayi?"
"Abbu ghar abhi tak nahi aaye, kya hua?"
"Assalam o alaikum, aap kaise hain, kya haal hai?"
"Aap ka kya haal hai, sab theek hai?"
"Aap ka naam kya hai, zara batayen?"
"Aaj kal kya kar rahe ho, koi khaas kaam?"
"Mein bilkul theek hoon, shukriya puchne ka."
"Aap kahan rehte hain, kaun sa shehar?"
"Kya aap Urdu bolte hain, achi tarah?"
"Jee haan, mein Urdu bolta hoon, mujhe aati hai."
"Nahi, mein Urdu nahi bolta, mujhe nahi aati."
"Bohot maza aaya, dil khush ho gaya."
"Phir milenge, inshallah, jaldi milenge."
"Khuda hafiz, apna khayal rakhna."
"Maaf kijiye ga, agar koi galti ho gayi."
"Koi baat nahi, chalta hai, koi masla nahi."
"Shukriya, aap ka bohat shukriya."
"Kya waqt hua hai, zara dekhna?"
"Kitna paise hue, kitna dena hai?"
"Yeh kitna ka hai, zara batao?"
"Bohot mehenga hai, itna nahi chalega."
"Thora sasta karo, kuch discount do."
"Mujhe yeh pasand hai, bohat acha hai."
"Mujhe yeh nahi pasand, mujhe acha nahi laga."
"Kya aap meri madad kar sakte hain, please?"
"Zaroor, mein zaroor madad karunga."
"Jaldi karo, der ho rahi hai, jaldi!"
"Der mat karo, jaldi se kaam karo."
"Sabar karo, sab theek ho jayega."
"Chalo chalte hain, kahin ghoomne chalte hain."
"Andar aa jao, andar aao, baitho."
"Bahar jao, yahan se bahar niklo."
"Beth jao, aram se baitho, suno."
"Khare ho jao, khare ho kar baat karo."
"Kya khana pasand karenge, aaj kya hai?"
"Mujhe biryani pasand hai, bohat achi lagti hai."
"Chai piyenge ya coffee, kya lenge?"
"Mein chai piyunga, mujhe chai pasand hai."
"Kya aap shadi shuda hain, shadi ho gayi hai?"
"Jee nahi, mein ghair shadi shuda hoon, abhi nahi."
"Jee haan, mein shadi shuda hoon, meri shadi ho gayi hai."
"Aap kitne saal ki hain, apni umar batao?"
"Mera naam Ali hai, mein Ali hoon."
"Yeh kya hai, mujhe dikhao, yeh kya hai?"
"Woh kya hai, zara mujhe dikhao, woh kya hai?"
"Idhar aa, mere paas aao, idhar aao."
"Udhar ja, wahan jao, udhar dekho."
"Yeh mera ghar hai, yeh mera apna ghar hai."
"Woh mera dost hai, bohat acha dost hai."
"Kya aap thak gaye hain, aram kar lein?"
"Mein thak gaya hoon, bohat kaam kiya."
"Mujhe neend aa rahi hai, sone ka dil hai."
"Subah ho gayi hai, utho, tayyar ho jao."
"Raat ho gayi hai, ab sona chahiye."
"Aaj garmi hai, bohat zyada garmi hai."
"Aaj sardi hai, thandi hawa chal rahi hai."
"Barish ho rahi hai, mausam acha hai."
"Hawa chal rahi hai, mausam khushgawar hai."
"Kya aap ko bhook lagi hai, khana khayenge?"
"Allah reham kare, hum sab par reham kare."
"Kya aap namaz parhte hain, ya nahi parhte?"
"Jumma Mubarak, aaj ka din mubarak ho."
"Masjid mein azaan ho rahi hai, chalo namaz ke liye."
Aaj roza rakha hai ya nahi rakha?
"Sehri ka waqt ho gaya hai, utho aur khana khao."
"Iftar ka waqt ho gaya hai, chalo roza kholo."
"Taraweeh parhne ja rahe ho, ya nahi ja rahe?"
"Quran parho, is mein shifa hai."
"Durood Shareef parho, dil ko sukoon milega."
"Allah ka zikr karo, dil ko chain milega."
"Jannat milegi, agar nek kaam karoge."
"Dozakh se bachao, gunahon se bach kar."
"Qayamat ka din, sab ko aana hai."
"Maut barhaq hai, har kisi ne marna hai."
"Duniya fani hai, akhirat ki tayyari karo."
"Akhirat ki tayari karo, kyunki zindagi ka maqsad hai."
"Hamesha ki zindagi, akhirat mein milegi."
"Sabar karo, mushkil waqt mein himmat rakho."
"Shukr karo, Allah ka shukr ada karo."
"Allah ka shukr hai, har haal mein shukr karo."
"Astaghfar karo, apne gunahon ki maafi maango."
"Tauba karo, aur phir gunah mat karna."
"Sadqa do, gareebon ki madad karo."
"Gareebon ki madad karo, Allah khush hoga."
"Yaqoob A.S. ka qissa, bohat sabaq amoz hai."
"Yousaf A.S. ki kahani, sachi aur dilchasp hai."
"Musa A.S. ka waqia, Allah ki qudrat ka saboot hai."
"Isa A.S. ka mojza, Allah ki taraf se tha."
"Muhammad S.A.W. ki seerat, humare liye misaal hai."
"Khana Kaba, musalmano ka qibla hai."
"Masjid e Nabwi, Madina mein waqia hai."
"Madina Munawwara, bohat pyara sheher hai."
"Makka Mukarrama, musalmano ka muqaddas sheher hai."
"Ziyarat pe gaya hai, ya jaane ka irada hai?"
"Umrah karo, Allah aapko asani dega."
"Hajj karo, agar taqat hai to zaroor karo."
"Zameen pe, hum sab rehte hain."
"Aasman pe, badal aur sitare hain."
"Suraj nikal raha hai, subah ka waqt hai."
"Chand nikal raha hai, raat ka manzar hai."
"Taare chamak rahe hain, raat ki raunaq hai."
"Badal garaj rahe hain, barish aane wali hai."
"Bijli chamak rahi hai, barsaat ka mausam hai."
"Tufan aa raha hai, bach kar raho."
"Bhookamp aaya hai, Allah reham kare."
"Sailab aa gaya, logon ki madad karo."
"Tabahi ho gayi, Allah sabar de."
"Bachao bachao, madad karo koi!"
"Foj aa gayi, mulk ki hifazat ke liye."
"Police aa gayi, aman o amaan ke liye."
"Hospital ja rahe hain, tabiyat theek nahi hai."
"Ambulance bulao, jaldi karo!"
"Dawa kahan se lo, aur kab leni hai?"
"Injection lagao, tabiyat theek ho jayegi."
"Checkup karwana hai, doctor se consult karo."
"Report aa gayi hai, doctor ko dikhao."
"Tabiyat sahi ho jayegi, dua karo."
"Allah shifa de, jaldi sehat yabi ho."
